budget,random_recall,random_precision,random_f1,uncertainty_sampling_recall,uncertainty_sampling_precision,uncertainty_sampling_f1
100,0.8782178217821782,0.1302878965922444,0.22691225377334356,0.9573835480673935,0.09003635007922453,0.16459362753450332
200,0.8833333333333333,0.13673008706868753,0.23680536163082935,0.9651995905834186,0.10976603422186008,0.19711538461538458
300,0.8846153846153846,0.13867355727820843,0.2397617274758004,0.9395203336809176,0.12821972392201508,0.2256448785374405
400,0.9011627906976745,0.11633143200240167,0.20606221749534698,0.9755826859045506,0.1388406254936029,0.2430862831858407
500,0.9098765432098765,0.10648750180609738,0.1906609752942698,0.9372862029646523,0.21654373024236037,0.3518082602182752
